DataHora,Protocolo,IP_Origem,IP_Destino,Protocolo_Num,Tamanho
2025-06-23 11:40:43,IPv4,192.168.0.15,104.18.18.125,6,83
2025-06-23 11:40:43,IPv4,104.18.18.125,192.168.0.15,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,3.218.192.175,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,181.213.132.4,17,77
2025-06-23 11:40:43,IPv4,181.213.132.4,192.168.0.15,17,162
2025-06-23 11:40:43,IPv4,104.18.18.125,192.168.0.15,6,133
2025-06-23 11:40:43,IPv4,192.168.0.15,104.18.18.125,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,60
2025-06-23 11:40:43,IPv4,192.168.0.15,181.213.132.4,17,77
2025-06-23 11:40:43,IPv4,181.213.132.4,192.168.0.15,17,162
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,60
2025-06-23 11:40:43,IPv4,3.218.192.175,192.168.0.15,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,181.213.132.4,17,76
2025-06-23 11:40:43,IPv4,192.168.0.15,181.213.132.4,17,76
2025-06-23 11:40:43,IPv4,192.168.0.15,181.213.132.4,17,76
2025-06-23 11:40:43,IPv4,181.213.132.4,192.168.0.15,17,126
2025-06-23 11:40:43,IPv4,181.213.132.4,192.168.0.15,17,104
2025-06-23 11:40:43,IPv4,181.213.132.4,192.168.0.15,17,92
2025-06-23 11:40:43,IPv4,3.210.6.136,192.168.0.15,6,60
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,569
2025-06-23 11:40:43,IPv4,54.224.79.84,192.168.0.15,6,60
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,52
2025-06-23 11:40:43,IPv4,192.168.0.15,54.224.79.84,6,569
2025-06-23 11:40:43,IPv4,3.210.6.136,192.168.0.15,6,52
2025-06-23 11:40:43,IPv4,3.210.6.136,192.168.0.15,6,1500
2025-06-23 11:40:43,IPv4,192.168.0.15,3.210.6.136,6,52
2025-06-23 11:40:43,IPv4,3.210.6.136,192.168.0.15,6,1500
